Date,Qwinj 0866-A1b,Qwinj 0866-A1c,Qwinj 0866-A1f,Qwinj 0866-A2,Qwinj 0866-A2i,Qwinj 0867-B2b,Qwinj 0867-B2c,Qwinj 0867-B2e,Qwinj 0867-B3,Qwinj 1318-A1f,Qwinj 1318-A2,Qwinj 1318-A2i,Qwinj 1318-A3,Qwinj 1318-B1,Qwinj 1318-B1i,Qwinj 1318-B2,Qwinj 1318-B2b,Qwinj 1318-B2c,Qwinj 1318-B2d,Qwinj 1318-B2e,Qwinj 1319-A1,Qwinj 1319-A1a,Qwinj 1319-A1b,Qwinj 1319-A1c,Qwinj 1319-A1d,Qwinj 1319-A1f,Qwinj 1319-A2,Qwinj 1319-A2i,Qwinj 1319-B2,Qwinj 1319-B2c,Qwinj 0839-A1,Qwinj 0839-A1a,Qwinj 0839-A1b,Qwinj 0839-A1c,Qwinj 0839-A1d,Qwinj 0829-B1,Qwinj 0829-B1i,Qwinj 0829-B2,Qwinj 0843-A1,Qwinj 0843-A1a,Qwinj 0843-A1b,Qwinj 0843-A1c,Qwinj 0843-A1f,Qwinj 0843-A2,Qwinj 0844-A2i,Qwinj 0844-A3,Qwinj 0844-B1i,Qwinj 0844-B2,Qwinj 0844-B2b,Qwinj 0844-B2c,Qwinj 0844-B2d,Qwinj 0844-B2e,Qwinj 0451-B1,Qwinj 0451-B1i,Qwinj 0451-B2,Qwinj 1317-A2,Qwinj 1317-A2i,Qwinj 1317-A3,Qwinj 1317-B1,Qwinj 1317-B1i,Qwinj 1317-B2,Qwinj 1317-B2b,Qwinj 1317-B2c,Qwinj 1317-B2d,Qwinj 1317-B2e,Qwinj 1317-B3,Qwinj 1317-C,Qwinj 0853-A1b,Qwinj 0853-A1c,Qwinj 0853-A1f,Qwinj 0853-A2,Qwinj 0853-A2i,Qtotal 402
1/21/17,0,83.4,0,74.47,192.13,140.92,0,105.18,43.91,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,52.51,0,0,86.6,187.13,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,55,75,0,32.5,7.5,263.75,12.5,43.75,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,0,0,0,0,0,478.71
1/22/17,0,83.4,0,74.47,192.13,106.9,0,79.79,33.31,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,52.51,0,0,86.6,187.13,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,55,75,0,32.5,7.5,263.75,12.5,43.75,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,0,0,0,0,0,633.88
1/23/17,0,83.4,0,74.47,192.13,106.9,0,79.79,33.31,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,52.51,0,0,86.6,187.13,358.03,171.86,157.54,16.26,14.45,136.42,122.87,0,4.64,12.6,2.76,0,0,0,0,0,0,56.12,76.53,0,33.16,7.65,269.13,12.76,44.64,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,0,0,0,0,0,26.58
1/24/17,0,83.4,0,74.47,192.13,106.9,0,79.79,33.31,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,52.51,0,0,86.6,187.13,358.03,171.86,157.54,16.26,14.45,136.42,122.87,0,4.64,12.6,2.76,0,0,0,0,0,0,56.12,76.53,0,33.16,7.65,269.13,12.76,44.64,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,0,0,0,0,0,26.58
1/25/17,0,91,0,81.25,209.63,105.49,0,78.74,32.87,90.24,69,0,0,0,0,0,12.5,25.09,0,0,0,48.13,78.58,0,85.45,85.45,184.66,173.86,94.29,98.22,15.92,14.15,133.58,120.31,0,4.58,12.43,2.73,0,0,0,0,0,0,55.38,75.52,0,32.73,7.55,265.58,12.59,44.05,0,0,0,0,0,9.26,9.26,141.29,119.29,0,89.17,11.58,24.32,2.32,67.17,0,0,0,0,0,1.6
1/26/17,0,92.94,0,82.98,214.09,106.9,0,79.79,33.31,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,34.03,55.56,0,60.42,60.42,130.56,122.92,66.67,69.44,16.26,14.45,136.42,122.87,0,4.64,12.6,2.76,0,0,0,0,0,0,56.12,76.53,0,33.16,7.65,269.13,12.76,44.64,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,0,0,0,0,0,1.6
1/27/17,0,92.94,0,82.98,214.09,106.9,0,79.79,33.31,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,34.03,52.51,0,0,60.42,130.56,358.03,171.86,157.54,16.26,14.45,136.42,122.87,0,4.64,12.6,2.76,0,0,0,0,0,0,56.12,76.53,0,33.16,7.65,269.13,12.76,44.64,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,0,0,0,0,0,1.6
1/28/17,0,92.94,0,82.98,214.09,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,34.03,52.51,0,0,60.42,130.56,358.03,171.86,157.54,16.26,14.45,136.42,122.87,0,4.64,12.6,2.76,0,0,0,0,0,0,56.12,76.53,0,33.16,7.65,269.13,12.76,44.64,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,1.6
1/29/17,0,92.94,0,82.98,214.09,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,34.03,52.51,0,0,60.42,130.56,358.03,171.86,157.54,15.14,13.46,127.01,114.39,0,4.64,12.6,2.76,0,0,0,0,0,0,57.24,78.06,0,33.83,7.81,274.52,13.01,45.54,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,1.6
1/30/17,0,92.94,0,82.98,214.09,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,34.03,52.51,0,0,60.42,130.56,358.03,171.86,157.54,15.14,13.46,127.01,114.39,0,4.64,12.6,2.76,0,0,0,0,0,0,57.24,78.06,0,33.83,7.81,274.52,13.01,45.54,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,13.31
